campaign_id,sender,subject_len,body_len,mean_paragraph_len,day_of_week,is_weekend,times_of_day,category,Product,no_of_CTA,mean_CTA_len,is_image,is_personalised,is_quote,is_timer,is_emoticons,is_discount,is_price,is_urgency,target_audience,click_rate
118,3,69,9642,24,3,0,Noon,1,5,3,22,0,0,1,0,0,0,0,0,14,0.044973544973545
119,3,69,9642,24,1,0,Evening,1,5,3,22,0,0,1,0,0,0,0,0,14,0.0380952380952381
120,3,72,7325,66,1,0,Evening,15,9,2,30,1,0,0,0,0,0,0,0,16,0.00297756287795945
121,3,61,13868,25,1,0,Evening,15,1,4,29,2,0,0,0,1,0,0,1,16,0.00893161519056385
122,3,84,10766,34,1,0,Noon,1,5,2,28,1,0,2,0,0,0,0,0,10,0.0138739016494528
123,3,84,12755,32,2,0,Evening,1,5,4,32,1,0,2,0,0,0,0,0,11,0.00348756658624561
124,3,88,13661,34,0,0,Evening,15,1,3,33,0,0,1,0,3,0,0,0,12,0.0064715686421718
125,3,84,12755,32,0,0,Evening,1,5,4,32,1,0,2,0,0,0,0,0,8,0.0101945369893535
126,3,61,9642,24,5,1,Morning,1,5,3,22,0,0,1,0,0,0,0,1,14,0.0854092526690392
127,3,94,15119,24,5,1,Noon,1,5,8,29,1,0,1,0,0,0,0,0,16,0.00488824342035351
128,3,63,8302,39,4,0,Evening,15,31,3,27,1,0,1,0,0,0,0,0,5,0.00251369063650238
129,3,97,20850,16,4,0,Noon,1,5,7,35,2,0,1,0,0,0,0,0,16,0.00303727565577543
130,3,82,9816,23,2,0,Evening,15,9,4,38,1,0,0,0,0,0,5499,0,12,0.0025426807119506
131,3,124,13821,34,2,0,Evening,15,9,4,31,1,0,0,0,1,0,0,1,16,0.0143961380420103
132,3,97,20850,16,1,0,Evening,1,5,7,35,2,0,1,0,0,0,0,0,7,0.00528447254049783
133,3,83,9821,23,1,0,Evening,15,9,4,38,1,0,0,0,0,0,5499,0,12,0.00636309599212652
134,3,79,10474,26,1,0,Noon,10,42,4,39,0,0,2,0,0,0,0,0,12,0.0789115646258503
135,3,92,12347,33,0,0,Evening,15,9,4,29,0,0,1,0,0,0,0,0,16,0.0032091322735556
136,3,67,11438,13,6,1,Evening,6,26,3,40,0,0,1,0,0,0,0,0,14,0.0303421562298257
137,3,102,13399,37,5,1,Evening,15,9,3,32,0,0,0,0,0,0,0,0,16,0.0109693447869294
138,3,91,10683,89,5,1,Evening,6,26,7,50,1,0,1,0,0,0,0,0,12,0.0358247842370949
139,3,53,9526,21,5,1,Evening,1,5,4,21,0,0,1,0,0,0,0,0,12,0.0672268907563025
140,3,124,10332,81,4,0,Evening,6,26,6,51,0,0,1,0,0,0,0,0,14,0.0259433962264151
141,3,121,10777,49,4,0,Evening,15,9,3,27,1,0,0,0,1,0,0,0,16,0.00313566088408217
142,3,84,15302,18,4,0,Noon,10,42,5,36,1,0,2,0,2,0,0,0,12,0.00255673581275205
143,3,81,7806,24,4,0,Evening,10,42,0,31,1,0,2,0,0,0,0,0,12,0.204968944099379
144,3,95,6492,36,4,0,Evening,10,42,2,41,1,0,2,0,0,0,0,0,14,0.0101386735933638
145,3,85,9731,28,3,0,Evening,15,6,4,18,2,1,0,0,0,0,0,0,10,0.0119220703692934
146,3,73,11206,34,3,0,Evening,1,5,4,34,1,0,1,0,0,0,0,0,12,0.00231052431128602
147,3,92,15144,16,3,0,Noon,10,42,5,21,0,0,1,0,1,0,0,0,12,0.00178115695448745
148,3,96,10007,69,2,0,Evening,6,26,6,52,1,0,1,0,0,0,0,1,14,0.0351542305703946
149,3,69,8237,47,2,0,Evening,2,11,0,23,2,0,0,0,0,0,0,0,3,0.0134900142277494
150,3,89,9231,51,2,0,Evening,15,9,3,27,0,0,0,0,0,0,0,0,16,0.00388999105302058
151,3,90,1663,115,2,0,Noon,2,11,0,22,1,0,1,0,0,0,0,0,12,0.151315789473684
152,3,92,4774,49,2,0,Evening,2,11,2,28,1,0,1,0,0,0,0,0,14,0.071041948579161
153,3,69,8237,47,2,0,Evening,2,11,0,23,2,0,0,0,0,0,0,0,10,0.013641425389755
154,3,88,9726,36,1,0,Evening,15,6,2,33,0,0,0,0,0,0,0,0,12,0.00487404631568635
155,3,77,9376,46,1,0,Evening,6,26,7,61,1,0,1,0,0,0,0,0,14,0.095536959553696
156,3,68,10507,27,2,0,Noon,10,42,3,39,1,0,2,0,0,0,0,0,12,0.0898876404494382
157,3,71,9752,40,1,0,Evening,2,11,3,29,2,0,1,0,0,0,0,0,16,0.00142163037610221
158,3,81,15144,16,2,0,Evening,10,42,5,21,0,0,1,0,1,0,0,0,12,0.00249078820066284
159,3,71,9752,40,1,0,Morning,2,11,3,29,2,0,1,0,0,0,0,0,16,0.00838192419825073
160,3,87,11837,32,0,0,Evening,15,6,2,30,1,0,0,0,0,0,8000,0,12,0.00380986704078875
161,3,77,8225,46,0,0,Evening,2,11,3,26,2,0,1,0,0,0,0,0,16,0.0021747755425918
162,3,72,4966,59,5,1,Morning,2,11,2,28,1,0,2,0,0,0,0,1,14,0.0515350877192983
163,3,94,22015,17,5,1,Morning,2,11,4,27,1,0,1,0,0,0,0,0,16,0.00274184981553523
164,3,95,13017,27,4,0,Evening,15,9,2,25,1,0,1,0,1,0,0,0,15,0.00203829074761593
165,3,73,14713,26,4,0,Evening,15,6,3,27,1,0,1,0,0,0,8000,1,12,0.00206155474066371
166,3,94,22015,17,4,0,Evening,2,11,4,27,1,0,1,0,0,0,0,0,10,0.0112517580872011
167,3,86,15027,16,4,0,Evening,6,26,5,42,1,0,1,0,0,0,0,1,16,0.00594820049018905
168,3,75,11089,39,3,0,Evening,6,26,2,32,2,0,0,0,0,0,0,0,14,0.0907606921318968
169,3,95,12254,20,3,0,Evening,6,26,5,42,1,0,1,0,0,0,0,0,12,0.00502961476332664
170,3,87,12505,39,3,0,Evening,15,9,4,21,0,0,0,0,0,0,0,0,16,0.00666134120418635
171,3,106,12542,37,3,0,Noon,6,26,4,47,2,0,0,0,0,0,0,0,14,0.23265306122449
172,3,71,1655,112,3,0,Noon,2,11,0,22,1,0,1,0,0,0,0,0,12,0.125
173,3,77,10105,39,3,0,Evening,2,11,2,23,2,0,0,0,0,0,0,0,16,0.00534651757739515
174,3,113,12598,28,2,0,Evening,6,26,5,42,0,0,1,0,0,0,0,0,12,0.00403099522140165
175,3,85,6555,39,2,0,Evening,10,42,1,21,1,0,1,0,0,0,0,0,14,0.00914593140551446
176,3,88,7783,23,2,0,Evening,10,42,0,31,0,0,1,0,0,0,0,0,12,0.167146974063401
177,3,97,12658,29,1,0,Evening,6,26,5,42,1,0,1,0,0,0,0,0,12,0.00308560732356468
178,3,72,4966,59,1,0,Evening,2,11,2,28,1,0,2,0,0,0,0,1,14,0.0286697247706422
179,3,67,10818,31,1,0,Evening,1,5,3,33,0,0,0,0,0,0,0,0,11,0.00227424384796612
180,3,80,15288,19,1,0,Evening,10,42,6,30,0,0,2,0,1,0,0,0,12,0.00456278440536219
181,3,77,10105,39,1,0,Evening,2,11,0,15,2,0,0,0,0,0,0,0,10,0.0183992640294388
182,3,102,12658,29,0,0,Evening,6,26,5,42,1,0,1,0,0,0,0,0,5,0.00450002073742275
183,3,80,15288,19,0,0,Evening,10,42,6,30,0,0,2,0,1,0,0,0,12,0.00674113754965879
184,3,63,4966,59,5,1,Noon,2,11,2,28,1,0,2,0,0,0,0,0,14,0.0845665961945032
185,3,93,8488,55,5,1,Noon,2,11,2,39,2,0,1,0,0,0,0,1,10,0.0217033378236791
186,3,93,8488,55,5,1,Noon,2,11,3,36,2,0,1,0,0,0,0,1,16,0.00892289670126989
187,3,67,10818,31,4,0,Evening,1,5,3,33,0,0,0,0,0,0,0,0,7,0.00272641062114746
188,3,93,8488,55,4,0,Evening,2,11,4,36,2,0,1,0,0,0,0,1,16,0.00576429182916389
189,3,104,15582,23,3,0,Evening,6,26,5,30,2,0,1,0,0,0,0,0,12,0.00392408462892781
190,3,67,9202,36,3,0,Evening,15,9,3,27,2,0,1,0,0,0,0,0,10,0.000882908116665652
191,3,91,11999,19,3,0,Evening,15,9,4,21,0,0,0,0,0,0,0,0,16,0.0193265296060741
192,3,94,14346,34,3,0,Evening,2,11,2,24,2,0,0,0,0,0,0,0,10,0.0222944728286112
193,3,90,17317,40,2,0,Evening,15,9,3,34,0,0,0,0,0,0,0,0,16,0.00371583630763213
194,3,98,15851,24,2,0,Evening,6,26,10,20,2,0,1,0,0,0,0,0,12,0.00663764492909788
195,3,83,1686,116,2,0,Evening,2,11,0,22,1,0,1,0,0,0,0,1,12,0.0840336134453782
196,3,93,14350,34,2,0,Evening,2,11,3,27,2,0,0,0,0,0,0,0,16,0.00328841163738984
197,3,42,7188,62,2,0,Noon,6,10,2,24,2,0,0,0,0,0,0,0,14,0.0155555555555556
198,3,99,15916,25,1,0,Evening,6,26,10,22,1,0,1,0,0,0,0,0,8,0.00862833740445028
199,3,79,4966,59,1,0,Evening,2,11,2,28,1,0,2,0,0,0,0,1,14,0.0647249190938511
200,3,99,14976,26,1,0,Evening,2,11,5,23,2,0,1,0,0,0,0,0,16,0.00602174818877105
201,3,94,17918,22,1,0,Evening,2,11,2,25,2,0,1,0,0,0,0,0,10,0.0185032215430365
202,3,67,9202,36,1,0,Evening,15,9,3,27,2,0,1,0,0,0,0,0,12,0.00694848853830272
203,3,99,14976,26,0,0,Evening,2,11,5,23,2,0,1,0,0,0,0,0,16,0.00429678690548256
204,3,125,13438,8,6,1,Evening,6,26,4,23,6,0,0,0,0,0,0,0,12,0.00871915598570059
205,3,73,4938,57,5,1,Morning,2,11,2,28,0,0,2,0,0,0,0,0,14,0.0769230769230769
206,3,77,23961,15,5,1,Morning,2,11,5,26,1,0,1,0,1,0,0,0,10,0.0101645692158761
207,3,77,23956,15,5,1,Noon,2,11,10,21,1,0,1,0,1,0,0,0,16,0.00305460099274532
208,3,91,11999,19,4,0,Evening,15,9,4,21,0,0,0,0,0,0,0,0,10,0.00729803442114173
209,3,118,15906,24,4,0,Evening,6,26,10,22,1,0,1,0,0,0,0,0,16,0.00572089903599563
210,3,68,19555,22,5,1,Noon,1,5,7,35,2,0,0,0,0,0,0,0,5,0.00240849542020947
211,3,42,7212,66,4,0,Morning,6,10,2,25,2,0,0,0,0,0,0,0,14,0.0308454971082346
212,3,103,13444,8,3,0,Evening,6,26,4,23,6,0,0,0,0,0,0,0,4,0.0016268429079817
213,3,91,13017,27,3,0,Evening,15,9,2,25,1,0,1,0,1,0,0,0,15,0.00371473215601875
214,3,83,1686,116,3,0,Evening,2,11,0,22,1,0,1,0,0,0,0,1,12,0.12396694214876
215,3,68,19544,21,3,0,Evening,1,5,7,31,2,0,0,0,0,0,0,0,8,0.0019348054679285
216,3,68,19555,22,2,0,Evening,1,5,7,35,2,0,0,0,0,0,0,0,5,0.00256323620221603
217,3,88,9147,36,2,0,Evening,2,11,2,34,1,0,1,0,2,0,0,0,10,0.00740569312659107
218,3,88,10641,32,2,0,Evening,2,11,4,29,1,0,1,0,2,0,0,0,16,0.00442490074988972
219,3,79,4938,57,2,0,Evening,2,11,2,28,0,0,2,0,0,0,0,1,14,0.0329218106995885
220,3,115,13440,8,2,0,Noon,6,26,4,19,6,0,0,0,0,0,0,0,2,0.0203656657365374
221,3,82,9147,36,1,0,Evening,2,11,2,34,1,0,1,0,2,0,0,0,10,0.0199532626280784
222,3,91,9418,24,1,0,Evening,10,42,0,30,1,0,1,0,0,0,0,0,12,0.238387978142076
223,3,94,9656,29,1,0,Evening,10,42,1,31,1,0,1,0,2,0,0,0,14,0.165689149560117
224,3,82,10641,32,1,0,Evening,2,11,4,29,1,0,1,0,2,0,0,0,16,0.00440213417953863
225,3,98,12091,28,1,0,Noon,10,42,5,38,2,0,0,0,0,0,0,0,12,0.00605619586394685
226,3,78,9631,34,0,0,Evening,1,5,3,44,0,0,1,0,0,0,0,0,8,0.00360095349191053
227,3,88,14935,21,5,1,Noon,2,11,9,27,1,0,1,0,0,0,0,0,16,0.0101601636915261
228,3,73,4943,58,5,1,Noon,2,11,2,28,0,0,2,0,0,0,0,1,14,0.0997732426303855
229,3,65,11496,31,4,0,Evening,15,9,3,35,2,0,0,0,1,0,0,0,16,0.00866951124903026
230,3,85,12081,28,0,0,Evening,10,42,5,38,2,0,0,0,1,0,0,0,12,0.00366137019738541
231,3,82,10467,40,4,0,Noon,1,5,4,19,0,0,1,0,0,0,0,0,8,0.00143869621104022
232,3,54,1576,87,3,0,Evening,9,34,0,0,0,1,3,0,0,0,0,0,6,0
233,3,71,12934,19,3,0,Evening,2,11,1,16,1,0,1,0,0,0,0,0,10,0.0102223358037312
234,3,52,13583,28,3,0,Evening,15,9,3,35,1,0,1,0,0,0,0,0,16,0.00809708504938222
235,3,71,12934,19,3,0,Evening,2,11,2,23,1,0,1,0,0,0,0,0,15,0.00417801145432354
236,3,85,12081,28,3,0,Evening,10,42,5,38,2,0,0,0,1,0,0,0,12,0.00594440088027724
237,3,74,6950,51,2,0,Evening,15,9,3,43,2,0,0,0,1,0,0,0,12,0.00318143538879012
238,3,82,10467,40,2,0,Evening,1,5,4,19,0,0,1,0,0,0,0,0,10,0.00320917066061268
239,3,65,12934,19,2,0,Evening,2,11,1,16,1,0,1,0,0,0,0,0,10,0.0175370977066872
240,3,73,4901,55,1,0,Evening,2,11,2,17,0,0,2,0,0,0,0,0,14,0.102870813397129
241,3,69,8332,41,0,0,Evening,2,11,1,20,1,0,0,0,0,0,0,0,14,0.337078651685393
242,3,88,12099,18,5,1,Noon,15,31,4,39,1,0,0,0,0,0,0,1,12,0.00229057591623037
243,3,77,12088,39,5,1,Noon,2,11,3,22,0,0,2,0,0,0,0,0,16,0.00571977567754765
244,3,84,4943,58,5,1,Morning,2,11,2,28,0,0,2,0,0,0,0,0,14,0.113207547169811
245,3,77,10611,45,5,1,Noon,2,11,1,23,0,0,2,0,0,0,0,0,10,0.0246618933969769
246,3,69,8332,41,5,1,Morning,2,11,1,20,1,0,0,0,0,0,0,0,14,0.3710407239819
247,3,80,18623,19,4,0,Evening,15,12,7,22,2,0,0,0,0,0,0,0,12,0.00303065625364262
248,3,71,8698,48,5,1,Noon,6,26,2,40,1,0,1,0,0,0,0,0,14,0.159163591635916
249,3,77,12088,39,4,0,Evening,2,11,3,22,0,0,2,0,0,0,0,0,16,0.00521923016355088
250,3,81,17044,27,4,0,Evening,2,11,5,34,1,0,1,0,0,0,0,0,3,0.0300829875518672
251,3,78,8818,24,4,0,Noon,6,26,3,35,1,0,2,0,0,0,0,0,13,0.0405529456234138
252,3,78,14517,32,3,0,Evening,15,31,3,30,1,0,2,0,3,0,0,0,5,0
253,3,69,8332,41,4,0,Noon,2,11,1,20,1,0,0,0,0,0,0,0,14,0.322834645669291
254,3,90,10809,47,3,0,Evening,2,11,6,27,0,0,1,0,0,0,0,0,15,0.00272409704195109
255,3,77,9020,29,3,0,Evening,6,26,2,30,2,0,0,0,0,0,0,0,14,0.213290244395072
256,3,107,15032,16,3,0,Noon,6,26,5,41,1,0,1,0,0,0,0,0,5,0.0194930503038047
